时间,用户1,用户2,用户3,用户4,用户5,用户6,用户7,用户8,用户9,线损电量(kW·h)
2019/6/1,58.31 ,110.82 ,117.00 ,41.40 ,52.97 ,104.56 ,39.03 ,55.05 ,49.96 ,92.80 
2019/6/2,57.35 ,108.99 ,115.08 ,56.21 ,66.48 ,84.61 ,46.08 ,49.82 ,40.75 ,100.80 
2019/6/3,60.21 ,114.44 ,120.83 ,60.98 ,63.58 ,71.97 ,54.77 ,45.06 ,55.02 ,102.95 
2019/6/4,59.66 ,113.39 ,119.72 ,64.75 ,58.53 ,58.88 ,53.08 ,50.79 ,45.56 ,90.50 
2019/6/5,55.59 ,105.66 ,111.56 ,67.76 ,59.37 ,142.22 ,52.19 ,58.80 ,47.55 ,90.43 
2019/6/6,58.28 ,110.77 ,116.95 ,72.80 ,53.34 ,139.88 ,59.04 ,59.29 ,47.53 ,99.41 
2019/6/7,51.12 ,97.16 ,102.58 ,45.52 ,57.95 ,146.87 ,64.06 ,70.59 ,50.19 ,95.92 
2019/6/8,49.18 ,93.46 ,98.68 ,61.10 ,68.42 ,145.52 ,68.02 ,43.73 ,36.43 ,94.30 
2019/6/9,57.12 ,108.57 ,114.63 ,50.69 ,81.34 ,135.60 ,71.18 ,44.74 ,42.22 ,99.18 
2019/6/10,59.48 ,113.05 ,119.36 ,58.85 ,39.41 ,142.15 ,76.48 ,26.92 ,39.65 ,111.55 
2019/6/11,60.83 ,115.62 ,122.07 ,68.76 ,64.58 ,124.68 ,62.17 ,46.99 ,34.64 ,108.63 
2019/6/12,68.32 ,129.85 ,137.10 ,66.78 ,87.68 ,119.95 ,64.18 ,32.38 ,49.65 ,92.73 
2019/6/13,65.00 ,123.54 ,130.44 ,64.28 ,95.13 ,139.33 ,69.22 ,32.52 ,51.68 ,82.02 
2019/6/14,53.69 ,102.04 ,107.73 ,74.72 ,101.01 ,145.08 ,61.82 ,40.12 ,55.63 ,88.30 
2019/6/15,48.06 ,91.34 ,96.44 ,64.52 ,105.70 ,148.38 ,72.23 ,56.17 ,58.11 ,92.23 
2019/6/16,53.23 ,101.16 ,106.81 ,58.01 ,113.57 ,166.64 ,70.15 ,39.12 ,61.10 ,96.98 
2019/6/17,43.43 ,82.55 ,87.15 ,64.15 ,71.01 ,158.55 ,67.52 ,43.26 ,67.74 ,107.51 
2019/6/18,47.97 ,91.17 ,96.26 ,60.55 ,45.02 ,130.95 ,78.49 ,30.25 ,64.21 ,101.91 
2019/6/19,37.35 ,49.91 ,74.94 ,87.75 ,46.06 ,117.22 ,67.78 ,39.44 ,56.13 ,89.09 
2019/6/20,40.52 ,41.08 ,81.31 ,86.31 ,27.72 ,129.83 ,65.82 ,51.42 ,51.39 ,81.57 
2019/6/21,43.02 ,41.17 ,86.34 ,90.62 ,48.38 ,105.93 ,65.31 ,44.47 ,52.64 ,83.54 
2019/6/22,45.02 ,45.57 ,90.34 ,89.79 ,33.34 ,117.00 ,68.70 ,57.55 ,55.93 ,88.77 
2019/6/23,48.37 ,69.66 ,97.07 ,83.67 ,33.48 ,53.29 ,92.18 ,50.61 ,60.15 ,95.46 
2019/6/24,30.25 ,42.88 ,60.70 ,87.71 ,41.31 ,48.20 ,90.67 ,46.47 ,61.66 ,97.87 
